start,end,pm10,pm10_unit,latitude,longitude
2022-11-03 21:00:00,2022-11-03 22:00:00,71.490000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 22:00:00,2022-11-03 23:00:00,61.410000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 23:00:00,2022-11-04 00:00:00,49.800000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 00:00:00,2022-11-04 01:00:00,44.700000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 01:00:00,2022-11-04 02:00:00,39.270000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 02:00:00,2022-11-04 03:00:00,35.700000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 03:00:00,2022-11-04 04:00:00,32.360000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 04:00:00,2022-11-04 05:00:00,34.730000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 05:00:00,2022-11-04 06:00:00,34.060000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 06:00:00,2022-11-04 07:00:00,39.580000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 07:00:00,2022-11-04 08:00:00,40.680000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 08:00:00,2022-11-04 09:00:00,45.020000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 09:00:00,2022-11-04 10:00:00,42.750000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 10:00:00,2022-11-04 11:00:00,38.830000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 11:00:00,2022-11-04 12:00:00,41.180000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 12:00:00,2022-11-04 13:00:00,37.100000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 13:00:00,2022-11-04 14:00:00,35.270000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 14:00:00,2022-11-04 15:00:00,42.090000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 15:00:00,2022-11-04 16:00:00,45.550000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 16:00:00,2022-11-04 17:00:00,51.490000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 17:00:00,2022-11-04 18:00:00,51.570000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 18:00:00,2022-11-04 19:00:00,68.080000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 19:00:00,2022-11-04 20:00:00,72.520000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 20:00:00,2022-11-04 21:00:00,54.850000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 21:00:00,2022-11-04 22:00:00,45.390000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 22:00:00,2022-11-04 23:00:00,47.970000000000000000,ug.m-3,44.4264,26.1406
2022-11-04 23:00:00,2022-11-05 00:00:00,54.270000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 00:00:00,2022-11-05 01:00:00,52.030000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 01:00:00,2022-11-05 02:00:00,45.870000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 02:00:00,2022-11-05 03:00:00,37.520000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 03:00:00,2022-11-05 04:00:00,34.330000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 04:00:00,2022-11-05 05:00:00,29.940000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 05:00:00,2022-11-05 06:00:00,27.170000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 06:00:00,2022-11-05 07:00:00,24.410000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 07:00:00,2022-11-05 08:00:00,24.700000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 08:00:00,2022-11-05 09:00:00,31.120000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 09:00:00,2022-11-05 10:00:00,35.650000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 10:00:00,2022-11-05 11:00:00,43.610000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 11:00:00,2022-11-05 12:00:00,51.640000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 12:00:00,2022-11-05 13:00:00,50.670000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 13:00:00,2022-11-05 14:00:00,49.150000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 14:00:00,2022-11-05 15:00:00,50.000000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 15:00:00,2022-11-05 16:00:00,51.290000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 16:00:00,2022-11-05 17:00:00,46.250000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 17:00:00,2022-11-05 18:00:00,41.730000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 18:00:00,2022-11-05 19:00:00,43.120000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 19:00:00,2022-11-05 20:00:00,41.210000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 20:00:00,2022-11-05 21:00:00,43.930000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 21:00:00,2022-11-05 22:00:00,41.630000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 22:00:00,2022-11-05 23:00:00,36.900000000000000000,ug.m-3,44.4264,26.1406
2022-11-05 23:00:00,2022-11-06 00:00:00,38.720000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 00:00:00,2022-11-06 01:00:00,38.530000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 01:00:00,2022-11-06 02:00:00,37.630000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 02:00:00,2022-11-06 03:00:00,39.640000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 03:00:00,2022-11-06 04:00:00,35.670000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 04:00:00,2022-11-06 05:00:00,34.580000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 05:00:00,2022-11-06 06:00:00,37.350000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 06:00:00,2022-11-06 07:00:00,35.400000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 07:00:00,2022-11-06 08:00:00,32.570000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 08:00:00,2022-11-06 09:00:00,32.570000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 09:00:00,2022-11-06 10:00:00,31.090000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 10:00:00,2022-11-06 11:00:00,32.490000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 11:00:00,2022-11-06 12:00:00,35.580000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 12:00:00,2022-11-06 13:00:00,36.230000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 13:00:00,2022-11-06 14:00:00,46.670000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 14:00:00,2022-11-06 15:00:00,54.050000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 15:00:00,2022-11-06 16:00:00,35.540000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 16:00:00,2022-11-06 17:00:00,31.940000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 17:00:00,2022-11-06 18:00:00,29.910000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 18:00:00,2022-11-06 19:00:00,27.220000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 19:00:00,2022-11-06 20:00:00,23.310000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 20:00:00,2022-11-06 21:00:00,21.350000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 21:00:00,2022-11-06 22:00:00,19.450000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 22:00:00,2022-11-06 23:00:00,16.570000000000000000,ug.m-3,44.4264,26.1406
2022-11-06 23:00:00,2022-11-07 00:00:00,16.300000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 00:00:00,2022-11-07 01:00:00,16.830000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 01:00:00,2022-11-07 02:00:00,15.500000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 02:00:00,2022-11-07 03:00:00,14.180000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 03:00:00,2022-11-07 04:00:00,14.980000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 04:00:00,2022-11-07 05:00:00,15.110000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 05:00:00,2022-11-07 06:00:00,18.690000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 06:00:00,2022-11-07 07:00:00,23.940000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 07:00:00,2022-11-07 08:00:00,26.350000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 08:00:00,2022-11-07 09:00:00,25.870000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 09:00:00,2022-11-07 10:00:00,24.320000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 10:00:00,2022-11-07 11:00:00,23.010000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 11:00:00,2022-11-07 12:00:00,21.290000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 12:00:00,2022-11-07 13:00:00,25.370000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 13:00:00,2022-11-07 14:00:00,23.040000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 14:00:00,2022-11-07 15:00:00,23.290000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 15:00:00,2022-11-07 16:00:00,22.310000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 16:00:00,2022-11-07 17:00:00,29.010000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 17:00:00,2022-11-07 18:00:00,40.460000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 18:00:00,2022-11-07 19:00:00,41.590000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 19:00:00,2022-11-07 20:00:00,56.700000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 20:00:00,2022-11-07 21:00:00,54.630000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 21:00:00,2022-11-07 22:00:00,39.360000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 22:00:00,2022-11-07 23:00:00,39.690000000000000000,ug.m-3,44.4264,26.1406
2022-11-07 23:00:00,2022-11-08 00:00:00,56.140000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 00:00:00,2022-11-08 01:00:00,51.730000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 01:00:00,2022-11-08 02:00:00,38.290000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 02:00:00,2022-11-08 03:00:00,31.790000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 03:00:00,2022-11-08 04:00:00,28.190000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 04:00:00,2022-11-08 05:00:00,27.350000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 05:00:00,2022-11-08 06:00:00,25.740000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 06:00:00,2022-11-08 07:00:00,26.410000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 07:00:00,2022-11-08 08:00:00,31.160000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 08:00:00,2022-11-08 09:00:00,45.140000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 09:00:00,2022-11-08 10:00:00,41.020000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 10:00:00,2022-11-08 11:00:00,36.210000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 11:00:00,2022-11-08 12:00:00,32.820000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 12:00:00,2022-11-08 13:00:00,30.940000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 13:00:00,2022-11-08 14:00:00,29.630000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 14:00:00,2022-11-08 15:00:00,31.130000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 15:00:00,2022-11-08 16:00:00,35.160000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 16:00:00,2022-11-08 17:00:00,48.470000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 17:00:00,2022-11-08 18:00:00,64.610000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 18:00:00,2022-11-08 19:00:00,69.890000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 19:00:00,2022-11-08 20:00:00,63.660000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 20:00:00,2022-11-08 21:00:00,55.640000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 21:00:00,2022-11-08 22:00:00,48.330000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 22:00:00,2022-11-08 23:00:00,44.450000000000000000,ug.m-3,44.4264,26.1406
2022-11-08 23:00:00,2022-11-09 00:00:00,46.100000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 00:00:00,2022-11-09 01:00:00,51.380000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 01:00:00,2022-11-09 02:00:00,47.670000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 02:00:00,2022-11-09 03:00:00,43.110000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 03:00:00,2022-11-09 04:00:00,45.970000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 04:00:00,2022-11-09 05:00:00,45.360000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 05:00:00,2022-11-09 06:00:00,41.050000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 06:00:00,2022-11-09 07:00:00,43.640000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 07:00:00,2022-11-09 08:00:00,46.330000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 08:00:00,2022-11-09 09:00:00,46.900000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 09:00:00,2022-11-09 10:00:00,39.460000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 10:00:00,2022-11-09 11:00:00,42.990000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 11:00:00,2022-11-09 12:00:00,42.070000000000000000,ug.m-3,44.4264,26.1406
2022-11-09 12:00:00,2022-11-09 13:00:00,42.230000000000000000,ug.m-3,44.4264,26.1406
